"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","680pF, 50V","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GCM1555C1HR50BA16-01A.pdf"
"C2","1","0.1uF, 16V","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X5R_4V-TO-50V"
"C3,C5,C6,C32","4","0.1uF, 50V","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X5R_4V-TO-50V"
"C4","1","1uF, 10V","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/UPY-GPHC_X5R_4V-TO-50V"
"C7","1","22uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C8,C9","2","0.1uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C10,C11","2","22uF,25V","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C12","1","75pF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C13,C17,C31","3","10u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C14,C15","2","15p","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C16","1","100n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C18,C19","2","4.7u","","","","49022_Footprints:C_0402_1005Metric_small_pads","~"
"C20,C23,C24,C25,C26,C27,C28,C29,C30","9","100n","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"C21,C22","2","4.7u","","","","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~"
"D1,D3,D4","3","LED","","","","Resistor_SMD:R_0603_1608Metric","~"
"D2","1","D_Schottky","","","","49022_Footprints:SMFDO-219AB_VIS-L","https://www.vishay.com/docs/97115/vs-e7fx0212hm3.pdf"
"H1,H2,H3,H4","4","MountingHole","","","","MountingHole:MountingHole_2.7mm_M2.5","~"
"IC1","1","NAU7802","","","","49022_Footprints:SOI16_NAU7802SGI_NUV-M",""
"J1","1","USB_B_Micro","","","","49022_Footprints:USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified","~"
"J2","1","Conn_01x16_Pin","","","","Connector_PinSocket_2.54mm:PinSocket_1x16_P2.54mm_Vertical","~"
"J3","1","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J4,J6","2","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"J5,J8","2","Conn_02x03_Counter_Clockwise","","","","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
"J7","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"JP1","1","Jumper_3_Bridged12","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"L2","1","MSS1048T-563ML","","","","49022_Footprints:IND_MSS1048","https://www.coilcraft.com/getmedia/6f8116f7-0036-41bf-97c5-9bae06e6af25/mss1048t.pdf"
"L3","1","3.3u","","","","49022_Footprints:L_pol_2016","~"
"R1,R2","2","47, 1%","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","https://yageogroup.com/content/datasheet/asset/file/PYU-RC_GROUP_51_ROHS_L"
"R3,R4","2","10K, 1%","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R6","1","510K","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R7","1","105k","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R8","1","49.9, 1%","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R9","1","100k, 1%","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R10","1","13.3k, 1%","","","","Capacitor_SMD:C_0402_1005Metric","~"
"R11","1","R_Small_US","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R12,R20,R21,R22","4","100","","","","Resistor_SMD:R_0603_1608Metric","~"
"R13","1","DNF","","","","Resistor_SMD:R_0402_1005Metric","~"
"R14","1","1k","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R15,R17","2","1k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R16","1","33","","","","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~"
"R18,R19","2","27","","","","Resistor_SMD:R_0402_1005Metric","~"
"RV1","1","R_Potentiometer_US","","","","49022_Footprints:RES_C01R00","~"
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_Push_1P1T_NO_Vertical_Wuerth_434133025816","~"
"U2","1","TPS54202DDCT","","","","49022_Footprints:TPS54202",""
"U3","1","W25Q128JVS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
"U4","1","NCP1117-3.3_SOT223","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.onsemi.com/pub_link/Collateral/NCP1117-D.PDF"
"U5","1","RP2350_60QFN","","","","49022_Footprints:RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",""
"Y1","1","ABM8-272-T3","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~"
